Summary,Start Time,End Time,Location
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Mar 20 21:00:00 WET 2023,Mon Mar 20 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Sep 12 19:30:00 WEST 2022,Mon Sep 12 21:00:00 WEST 2022,"Auditório 0NE03 - Mário Murteira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Nov 14 21:00:00 WET 2022,Mon Nov 14 22:30:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue Mar 07 18:00:00 WET 2023,Tue Mar 07 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 21 19:30:00 WET 2022,Mon Nov 21 21:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Wed Nov 30 18:00:00 WET 2022,Wed Nov 30 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Mar 06 19:30:00 WET 2023,Mon Mar 06 21:00:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri May 26 21:00:00 WEST 2023,Fri May 26 22:30:00 WEST 2023,"Auditório 4, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue Feb 28 18:00:00 WET 2023,Tue Feb 28 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Mar 15 21:00:00 WET 2023,Wed Mar 15 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 07 19:30:00 WET 2022,Mon Nov 07 21:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 30 21:00:00 WEST 2022,Fri Sep 30 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Mar 03 21:00:00 WET 2023,Fri Mar 03 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Mar 20 09:30:00 WET 2023,Mon Mar 20 11:00:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Fri Mar 10 19:30:00 WET 2023,Fri Mar 10 21:00:00 WET 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Tue May 23 18:00:00 WEST 2023,Tue May 23 19:30:00 WEST 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Sep 20 19:30:00 WEST 2022,Tue Sep 20 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Feb 13 09:30:00 WET 2023,Mon Feb 13 11:00:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Introdução à Ciência de Dados - Introduction to Data Science,Fri Oct 14 13:00:00 WEST 2022,Fri Oct 14 14:30:00 WEST 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 23 19:30:00 WEST 2022,Fri Sep 23 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Sep 27 19:30:00 WEST 2022,Tue Sep 27 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Oct 18 19:30:00 WEST 2022,Tue Oct 18 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Apr 26 18:00:00 WEST 2023,Wed Apr 26 19:30:00 WEST 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Tue Sep 20 21:00:00 WEST 2022,Tue Sep 20 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue May 09 21:00:00 WEST 2023,Tue May 09 22:30:00 WEST 2023,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Mar 07 21:00:00 WET 2023,Tue Mar 07 22:30:00 WET 2023,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Nov 18 19:30:00 WET 2022,Fri Nov 18 21:00:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Tue Nov 15 18:00:00 WET 2022,Tue Nov 15 19:30:00 WET 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Nov 07 18:00:00 WET 2022,Mon Nov 07 19:30:00 WET 2022,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
