Summary,Start Time,End Time,Location
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Sep 28 11:00:00 WEST 2022,Wed Sep 28 12:30:00 WEST 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Nov 07 14:30:00 WET 2022,Mon Nov 07 16:00:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Oct 10 13:00:00 WEST 2022,Mon Oct 10 14:30:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Tue Apr 18 16:00:00 WEST 2023,Tue Apr 18 17:30:00 WEST 2023,"Auditório 0NE03 - Mário Murteira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Mar 28 13:00:00 WEST 2023,Tue Mar 28 14:30:00 WEST 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Thu Mar 09 16:00:00 WET 2023,Thu Mar 09 17:30:00 WET 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Sep 13 14:30:00 WEST 2022,Tue Sep 13 16:00:00 WEST 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed May 10 16:00:00 WEST 2023,Wed May 10 17:30:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Oct 12 09:30:00 WEST 2022,Wed Oct 12 11:00:00 WEST 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Mon Oct 03 14:30:00 WEST 2022,Mon Oct 03 16:00:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Fri May 12 14:30:00 WEST 2023,Fri May 12 16:00:00 WEST 2023,"D1.05, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Thu Mar 02 16:00:00 WET 2023,Thu Mar 02 17:30:00 WET 2023,"D1.11, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed May 10 13:00:00 WEST 2023,Wed May 10 14:30:00 WEST 2023,"C2.02, 2, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Wed Apr 26 11:00:00 WEST 2023,Wed Apr 26 12:30:00 WEST 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Apr 24 14:30:00 WEST 2023,Mon Apr 24 16:00:00 WEST 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
